depth= 5 n_est= 200 score= [ 0.92269327  0.91022444  0.9276808   0.9325      0.9325      0.96        0.935  0.92481203  0.92230576  0.92230576]  smean= 0.929002206264
depth= 5 n_est= 300 score= [ 0.92518703  0.91521197  0.93017456  0.9425      0.93        0.965       0.93  0.92230576  0.91729323  0.92230576]  smean= 0.929997832799
depth= 5 n_est= 400 score= [ 0.9201995   0.91521197  0.92518703  0.94        0.93        0.97        0.9375  0.92230576  0.9197995   0.92481203]  smean= 0.930501579697
depth= 5 n_est= 500 score= [ 0.92518703  0.9127182   0.93765586  0.94        0.93        0.9675      0.93  0.91729323  0.91478697  0.92230576]  smean= 0.929744706217
depth= 5 n_est= 600 score= [ 0.92269327  0.9127182   0.93765586  0.9425      0.9325      0.965       0.93  0.9122807   0.92230576  0.91729323]  smean= 0.929494703092
depth= 5 n_est= 700 score= [ 0.93017456  0.91022444  0.93765586  0.9425      0.9275      0.965       0.9325  0.9197995   0.92481203  0.92481203]  smean= 0.931497842174
depth= 5 n_est= 800 score= [ 0.92518703  0.91521197  0.93765586  0.945       0.925       0.965       0.9325  0.9197995   0.92481203  0.9197995 ]  smean= 0.930996589041
depth= 5 n_est= 900 score= [ 0.9276808   0.9127182   0.94014963  0.9475      0.93        0.965       0.9325  0.92230576  0.9273183   0.92230576]  smean= 0.932747845299
depth= 5 n_est= 1000 score= [ 0.9276808   0.91521197  0.93765586  0.945       0.93        0.9625  0.9375      0.92230576  0.92982456  0.92481203]  smean= 0.933249098432
depth= 6 n_est= 100 score= [ 0.92269327  0.9201995   0.91521197  0.9225      0.92        0.955       0.94  0.9197995   0.90977444  0.90977444]  smean= 0.923495310908
depth= 6 n_est= 200 score= [ 0.91770574  0.91022444  0.9201995   0.9325      0.92        0.9525  0.9375      0.92481203  0.9122807   0.91478697]  smean= 0.924250937506
depth= 6 n_est= 300 score= [ 0.9127182   0.91770574  0.92269327  0.9375      0.92        0.95        0.9275  0.92230576  0.91729323  0.92481203]  smean= 0.925252823455
depth= 6 n_est= 400 score= [ 0.91770574  0.91521197  0.92518703  0.94        0.9225      0.9575      0.94  0.92230576  0.92481203  0.92230576]  smean= 0.928752829705
depth= 6 n_est= 500 score= [ 0.91022444  0.91521197  0.92518703  0.94        0.9225      0.955       0.9375  0.9197995   0.92481203  0.92481203]  smean= 0.927504700029
depth= 6 n_est= 600 score= [ 0.91022444  0.90773067  0.93017456  0.9375      0.925       0.9525      0.935  0.91729323  0.9197995   0.9197995 ]  smean= 0.925502190639
depth= 6 n_est= 700 score= [ 0.91022444  0.90773067  0.9276808   0.9425      0.92        0.9525  0.9325      0.91729323  0.9273183   0.9197995 ]  smean= 0.925754693779
depth= 6 n_est= 800 score= [ 0.91770574  0.9127182   0.9276808   0.94        0.92        0.9525  0.9325      0.92481203  0.92481203  0.91729323]  smean= 0.927002203139
depth= 6 n_est= 900 score= [ 0.91521197  0.91022444  0.93017456  0.94        0.9175      0.955       0.935  0.91729323  0.92230576  0.91729323]  smean= 0.926000320315
depth= 6 n_est= 1000 score= [ 0.91770574  0.91022444  0.93017456  0.9375      0.92        0.9525      0.935  0.9197995   0.92230576  0.91729323]  smean= 0.92625032344
